id,observed_on_string,observed_on,time_observed_at,created_at,updated_at,quality_grade,image_url,place_guess,latitude,longitude,private_place_guess,private_latitude,private_longitude,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
197371,2012-08-01,2012-08-01,,2013-02-13 16:18:41 UTC,2014-11-21 11:56:39 UTC,needs_id,https://static.inaturalist.org/photos/251555/medium.jpg?1360772341,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Subfamily Thyatirinae,Thyatirinae,False Owlet Moths,Insecta,123020,Animalia,Insecta,Lepidoptera,Drepanidae,Thyatirinae,,,
197384,2011-08-08,2011-08-08,,2013-02-13 16:30:43 UTC,2014-11-21 11:56:42 UTC,needs_id,https://static.inaturalist.org/photos/251582/medium.jpg?1444831430,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Genus Perixera,Perixera,,Insecta,199571,Animalia,Insecta,Lepidoptera,Geometridae,Sterrhinae,Cosymbiini,Perixera,
197385,2011-08-08,2011-08-08,,2013-02-13 16:30:44 UTC,2014-11-21 11:56:46 UTC,research,https://static.inaturalist.org/photos/251583/medium.jpg?1444831433,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Traminda aventiaria,Traminda aventiaria,Cross-line Wave Moth,Insecta,203869,Animalia,Insecta,Lepidoptera,Geometridae,Sterrhinae,Timandrini,Traminda,Traminda aventiaria
197386,2011-08-08,2011-08-08,,2013-02-13 16:30:45 UTC,2019-08-29 03:55:52 UTC,needs_id,https://static.inaturalist.org/photos/49658761/medium.jpg?1567050940,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Raparna,Raparna,,Insecta,205313,Animalia,Insecta,Lepidoptera,Erebidae,Boletobiinae,Phytometrini,Raparna,
197387,2011-08-08,2011-08-08,,2013-02-13 16:30:46 UTC,2019-08-29 03:56:34 UTC,needs_id,https://static.inaturalist.org/photos/49658830/medium.jpg?1567050991,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Omiodes,Omiodes,,Insecta,90453,Animalia,Insecta,Lepidoptera,Crambidae,Spilomelinae,Margaroniini,Omiodes,
197388,2011-08-08,2011-08-08,,2013-02-13 16:30:47 UTC,2019-08-29 03:57:02 UTC,needs_id,https://static.inaturalist.org/photos/49658856/medium.jpg?1567051019,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Pyrinioides,Pyrinioides,,Insecta,204838,Animalia,Insecta,Lepidoptera,Thyrididae,,,Pyrinioides,
197389,2011-08-08,2011-08-08,,2013-02-13 16:30:48 UTC,2014-11-21 11:57:00 UTC,research,https://static.inaturalist.org/photos/251587/medium.jpg?1444831438,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Anticarsia irrorata,Anticarsia irrorata,,Insecta,205115,Animalia,Insecta,Lepidoptera,Erebidae,Eulepidotinae,,Anticarsia,Anticarsia irrorata
197390,2011-08-08,2011-08-08,,2013-02-13 16:30:49 UTC,2014-11-21 11:57:03 UTC,needs_id,https://static.inaturalist.org/photos/251588/medium.jpg?1444831446,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Subfamily Pantheinae,Pantheinae,,Insecta,122459,Animalia,Insecta,Lepidoptera,Noctuidae,Pantheinae,,,
197391,2011-08-08,2011-08-08,,2013-02-13 16:30:50 UTC,2014-11-21 11:57:06 UTC,needs_id,https://static.inaturalist.org/photos/251589/medium.jpg?1567061356,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Subfamily Ennominae,Ennominae,,Insecta,123033,Animalia,Insecta,Lepidoptera,Geometridae,Ennominae,,,
197392,2011-08-08,2011-08-08,,2013-02-13 16:30:51 UTC,2014-11-21 11:57:09 UTC,needs_id,https://static.inaturalist.org/photos/251590/medium.jpg?1567061325,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Emerald Moths and Allies,Geometridae,Geometer Moths,Insecta,49530,Animalia,Insecta,Lepidoptera,Geometridae,,,,
197417,2011-08-08,2011-08-08,,2013-02-13 16:49:06 UTC,2019-12-23 05:30:02 UTC,needs_id,https://static.inaturalist.org/photos/251581/medium.jpg?1567061311,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Scopula,Scopula,,Insecta,52048,Animalia,Insecta,Lepidoptera,Geometridae,Sterrhinae,Scopulini,Scopula,
197424,2011-08-08,2011-08-08,,2013-02-13 17:15:25 UTC,2014-11-21 11:57:15 UTC,needs_id,https://static.inaturalist.org/photos/251621/medium.jpg?1444831451,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,tussock moths (Subfamily Lymantriinae),Lymantriinae,Tussock Moths,Insecta,48847,Animalia,Insecta,Lepidoptera,Erebidae,Lymantriinae,,,
197425,2011-08-08,2011-08-08,,2013-02-13 17:15:25 UTC,2014-11-21 11:57:18 UTC,needs_id,https://static.inaturalist.org/photos/251622/medium.jpg?1567061293,"NEHU, Shillong, Meghalaya",25.6120984,91.8977131,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Genus Cnaphalocrocis,Cnaphalocrocis,,Insecta,52046,Animalia,Insecta,Lepidoptera,Crambidae,Spilomelinae,Spilomelini,Cnaphalocrocis,
197426,2011-08-08,2011-08-08,,2013-02-13 17:15:26 UTC,2014-11-21 11:57:21 UTC,research,https://static.inaturalist.org/photos/500237/medium.jpg?1379346712,"NEHU, Shillong, Meghalaya",25.612098,91.897713,,,,,,Meghalaya,India,Meghalaya,East Khasi Hills,Bradina diagonalis,Bradina diagonalis,,Insecta,124804,Animalia,Insecta,Lepidoptera,Crambidae,Spilomelinae,Steniini,Bradina,Bradina diagonalis
